ablation,variant,auc,auc_std,n,rate,width,lo,hi,probe_frac,truth,note,width_std,coverage,train,test,n_train,n_test,model
1_signal_isolation,est_dropped_mean_Lmean,0.8359055410933431,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,est_dropped_max_Lmax,0.8192888937768142,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,consensus_est_Lmean,0.8322813585610754,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,fully_dropped_est_Lmean,0.8318726246950086,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,sparse_margin,0.8717080200273926,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,sparse_entropy_Lmean,0.44662876760786946,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,est_dropped_mean_Lstd,0.828073270505855,,3345.0,,,,,,,,,,,,,,
1_signal_isolation,ALL (grouped 5-fold CV),0.9192623486942377,0.007268218876101749,3345.0,,,,,,,,,,,,,,
1_signal_isolation,dropped-mass only (grouped CV),0.8284358612518095,0.015032826235148993,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without est_dropped_mean_Lmean,0.9192767702079406,0.007268468388572888,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without est_dropped_max_Lmax,0.9193970071534775,0.006897686759195762,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without consensus_est_Lmean,0.9193101303168814,0.007322440427443726,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without fully_dropped_est_Lmean,0.9193437154233924,0.00730531612342141,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without sparse_margin,0.8292624051472572,0.010202194381172881,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without sparse_entropy_Lmean,0.9197838956569122,0.007059723541744028,3345.0,,,,,,,,,,,,,,
1_leave_one_out,without est_dropped_mean_Lstd,0.9183719965997221,0.007663372380955025,3345.0,,,,,,,,,,,,,,
2_verification_rate,rate=0,,,,0.0,1.0,0.0,1.0,0.0,0.1961136023916293,unverified sparse (status quo),,,,,,,
2_verification_rate,rate=0.01,,,,0.01,0.5102399937483822,0.0,0.5102399937483822,0.009417040358744395,0.1961136023916293,,,,,,,,
2_verification_rate,rate=0.02,,,,0.02,0.4126463249287157,0.01719443327958266,0.4298407582082984,0.019805680119581465,0.1961136023916293,,,,,,,,
2_verification_rate,rate=0.05,,,,0.05,0.24311960518409567,0.07097522334373003,0.3140948285278257,0.04862979571499751,0.1961136023916293,,,,,,,,
2_verification_rate,rate=0.1,,,,0.1,0.17782225479299796,0.1166221787807755,0.2944444335737734,0.1002740408570005,0.1961136023916293,,,,,,,,
2_verification_rate,rate=0.2,,,,0.2,0.12123551670807892,0.13024633344095818,0.25148185014903707,0.2003986048829098,0.1961136023916293,,,,,,,,
2_verification_rate,rate=0.5,,,,0.5,0.07736173584593065,0.15082986077627358,0.22819159662220426,0.5048081714000997,0.1961136023916293,,,,,,,,
2_verification_rate,rate=1,,,,1.0,0.05391105610161728,0.1576996488852476,0.21161070498686488,1.0,0.1961136023916293,full dense verification,,,,,,,
3_fixed_vs_adaptive,fixed,,,,0.02,0.4041791914192408,,,0.01976083707025411,0.1961136023916293,,0.06074726126935062,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p),,,,0.02,0.3292975010897052,,,0.02863976083707025,0.1961136023916293,,0.0445559167258194,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p/4),,,,0.02,0.6548560903428244,,,0.02112107623318386,0.1961136023916293,,0.058307948043597776,1.0,,,,,
3_fixed_vs_adaptive,fixed,,,,0.05,0.24749666437473294,,,0.04896860986547085,0.1961136023916293,,0.019246579278775003,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p),,,,0.05,0.18808532331989067,,,0.07267563527653212,0.1961136023916293,,0.01787158965010681,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p/4),,,,0.05,0.3791183024672646,,,0.0541255605381166,0.1961136023916293,,0.03117021835058771,1.0,,,,,
3_fixed_vs_adaptive,fixed,,,,0.1,0.17550980760527546,,,0.10031390134529147,0.1961136023916293,,0.011086755458898746,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p),,,,0.1,0.12801888795950628,,,0.14606875934230196,0.1961136023916293,,0.00880438201111082,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p/4),,,,0.1,0.21080819868768902,,,0.10756352765321373,0.1961136023916293,,0.013503105837298024,1.0,,,,,
3_fixed_vs_adaptive,fixed,,,,0.2,0.12239555890929757,,,0.2007324364723468,0.1961136023916293,,0.005997803265442932,1.0,,,,,
3_fixed_vs_adaptive,adaptive(floor=p),,,,0.2,0.08702492014062235,,,0.2921375186846039,0.1961136023916293,,0.005029382687401143,1.0,,,,,
