estimator,target_width,probes_needed,stream_len,probe_rate,throughput_loss,feasible
fixed + Hoeffding,0.2,875,1000,0.875,0.4767573604113239,True
fixed + Hoeffding,0.2,875,10000,0.0875,0.08350709676937428,True
fixed + Hoeffding,0.2,875,100000,0.00875,0.009029320806664931,True
fixed + Hoeffding,0.2,875,1000000,0.000875,0.0009103297742811521,True
fixed + Hoeffding,0.1,4075,1000,,,False
fixed + Hoeffding,0.1,4075,10000,0.4075,0.29792037617243483,True
fixed + Hoeffding,0.1,4075,100000,0.04075,0.040706641870010614,True
fixed + Hoeffding,0.1,4075,1000000,0.004075,0.004225468351216491,True
fixed + Hoeffding,0.05,18700,1000,,,False
fixed + Hoeffding,0.05,18700,10000,,,False
fixed + Hoeffding,0.05,18700,100000,0.187,0.16298922070417174,True
fixed + Hoeffding,0.05,18700,1000000,0.0187,0.019100828274096444,True
fixed + EmpBernstein,0.2,225,1000,0.225,0.18982293659444394,True
fixed + EmpBernstein,0.2,225,10000,0.0225,0.022893420302988042,True
fixed + EmpBernstein,0.2,225,100000,0.00225,0.0023375041487422245,True
fixed + EmpBernstein,0.2,225,1000000,0.000225,0.00023424320489114547,True
fixed + EmpBernstein,0.1,962,1000,0.962,0.5004382381092086,True
fixed + EmpBernstein,0.1,962,10000,0.0962,0.09105406697609722,True
fixed + EmpBernstein,0.1,962,100000,0.00962,0.009918188998418995,True
fixed + EmpBernstein,0.1,962,1000000,0.000962,0.0010007519824138096,True
fixed + EmpBernstein,0.05,4837,1000,,,False
fixed + EmpBernstein,0.05,4837,10000,0.4837,0.3349687879123446,True
fixed + EmpBernstein,0.05,4837,100000,0.04837,0.04795351715789783,True
fixed + EmpBernstein,0.05,4837,1000000,0.004837,0.0050116451252421165,True
fixed + Betting,0.2,125,1000,0.125,0.11517392119239676,True
fixed + Betting,0.2,125,10000,0.0125,0.012849306647294915,True
fixed + Betting,0.2,125,100000,0.00125,0.0012999639364544263,True
fixed + Betting,0.2,125,1000000,0.000125,0.00013014866335731064,True
fixed + Betting,0.1,450,1000,0.45,0.3190776219825822,True
fixed + Betting,0.1,450,10000,0.045,0.04476208341668061,True
fixed + Betting,0.1,450,100000,0.0045,0.004664105930521681,True
fixed + Betting,0.1,450,1000000,0.00045,0.0004683766957239882,True
fixed + Betting,0.05,2075,1000,,,False
fixed + Betting,0.05,2075,10000,0.2075,0.1776822319859155,True
fixed + Betting,0.05,2075,100000,0.02075,0.02115048147981003,True
fixed + Betting,0.05,2075,1000000,0.002075,0.002156090260390064,True
