policy,arrival_rate,utilization,tpot_p50,tpot_p99,mean_width,p90_width,system_width,probe_completion,n_requests,n_unfinished,infeasible,probe_cost
none,0.06,0.668375,1.0,2.0,1.0,1.0,1.0,1.0,338,7,False,1.5
none,0.09,0.9207708333333333,2.0,5.0,1.0,1.0,1.0,1.0,481,41,False,1.5
none,0.105,0.9833541666666666,4.0,10.0,1.0,1.0,1.0,1.0,528,77,False,1.5
inline,0.06,0.72715625,1.0,2.0,0.98684971973442,1.0,0.11479570718430285,1.0,339,6,False,1.5
inline,0.09,0.96178125,6.0,15.0,0.9916397388550765,1.0,0.10072474010338509,1.0,411,111,False,1.5
inline,0.105,0.9592291666666667,10.0,25.0,0.9956652994219595,1.0,0.10103288752767367,1.0,425,180,False,1.5
elastic,0.06,0.66665625,1.0,2.0,0.9901725241315594,1.0,0.1202580941528197,0.9782214156079855,340,5,False,1.5
elastic,0.09,0.9851666666666666,4.0,10.0,0.9996966005511806,1.0,0.4013299832876369,0.037139807897545354,441,81,False,1.5
elastic,0.105,0.9789270833333333,3.0,7.0,0.999783680000068,1.0,0.27152441610199946,0.09350479511769834,549,56,False,1.5
none,0.06,0.668375,1.0,2.0,1.0,1.0,1.0,1.0,338,7,False,3.0
none,0.09,0.9207708333333333,2.0,5.0,1.0,1.0,1.0,1.0,481,41,False,3.0
none,0.105,0.9833541666666666,4.0,10.0,1.0,1.0,1.0,1.0,528,77,False,3.0
inline,0.06,0.8651041666666667,2.0,4.0,0.9863727942087572,1.0,0.1120730355212598,1.0,329,16,False,3.0
inline,0.09,0.9867291666666667,9.0,20.0,0.9908570804245721,1.0,0.10570348833008007,1.0,396,126,False,3.0
inline,0.105,0.9893958333333334,14.0,30.0,0.9938123433414913,1.0,0.10547898966906688,1.0,408,197,False,3.0
elastic,0.06,0.7405625,1.0,2.0,0.9918415963681301,1.0,0.12371465254389163,0.9183303085299456,340,5,False,3.0
elastic,0.09,0.9844166666666667,4.0,10.0,1.0,1.0,0.5735759387779228,0.016008537886873,441,81,False,3.0
elastic,0.105,0.9800208333333333,3.0,7.0,0.9998830334834938,1.0,0.35460827439616194,0.05056669572798605,549,56,False,3.0
none,0.06,0.668375,1.0,2.0,1.0,1.0,1.0,1.0,338,7,False,6.0
none,0.09,0.9207708333333333,2.0,5.0,1.0,1.0,1.0,1.0,481,41,False,6.0
none,0.105,0.9833541666666666,4.0,10.0,1.0,1.0,1.0,1.0,528,77,False,6.0
inline,0.06,0.9544375,3.0,9.0,0.9884319773271976,1.0,0.11740679498842238,1.0,318,27,False,6.0
inline,0.09,0.9900416666666667,15.0,39.0,0.9952679605827973,1.0,0.11561589605442778,1.0,332,190,False,6.0
inline,0.105,0.9923541666666666,14.0,48.0,0.9976699925602831,1.0,0.11566888770434268,1.0,335,270,False,6.0
elastic,0.06,0.6914375,1.0,2.0,0.9997994666823502,1.0,0.19880148017062976,0.31651542649727765,340,5,False,6.0
elastic,0.09,0.9807291666666667,4.0,10.0,1.0,1.0,1.0,0.0017075773745997866,441,81,False,6.0
elastic,0.105,0.9667708333333334,3.0,7.0,1.0,1.0,1.0,0.002179598953792502,549,56,False,6.0
none,0.06,0.668375,1.0,2.0,1.0,1.0,1.0,1.0,338,7,False,12.0
none,0.09,0.9207708333333333,2.0,5.0,1.0,1.0,1.0,1.0,481,41,False,12.0
none,0.105,0.9833541666666666,4.0,10.0,1.0,1.0,1.0,1.0,528,77,False,12.0
inline,0.06,0.054875,1.0,1.0,1.0,1.0,1.0,1.0,12,333,True,12.0
inline,0.09,0.08747916666666666,1.0,1.0,1.0,1.0,1.0,1.0,32,490,True,12.0
inline,0.105,0.09879166666666667,1.0,1.0,1.0,1.0,1.0,1.0,41,564,True,12.0
elastic,0.06,0.5824375,1.0,2.0,1.0,1.0,1.0,0.0,340,5,False,12.0
elastic,0.09,0.9797291666666667,4.0,10.0,1.0,1.0,1.0,0.0,441,81,False,12.0
elastic,0.105,0.9655208333333334,3.0,7.0,1.0,1.0,1.0,0.0,549,56,False,12.0
