policy,arrival_rate,utilization,tpot_p50,tpot_p99,mean_width,p90_width,system_width,probe_completion,n_requests,n_unfinished,infeasible
none,0.02,0.2118125,1.0,1.0,1.0,1.0,1.0,1.0,122,3,False
none,0.031875,0.386875,1.0,2.0,1.0,1.0,1.0,1.0,199,1,False
none,0.04375,0.54925,1.0,2.0,1.0,1.0,1.0,1.0,274,6,False
none,0.05562500000000001,0.7435416666666667,1.0,2.0,1.0,1.0,1.0,1.0,350,8,False
none,0.0675,0.8843333333333333,1.0,3.0,1.0,1.0,1.0,1.0,424,7,False
none,0.079375,0.950125,2.0,4.0,1.0,1.0,1.0,1.0,462,22,False
none,0.09125000000000001,0.964875,7.0,13.0,1.0,1.0,1.0,1.0,448,113,False
none,0.10312500000000001,0.9802708333333333,9.0,17.0,1.0,1.0,1.0,1.0,491,140,False
none,0.115,0.9925625,10.0,22.0,1.0,1.0,1.0,1.0,492,200,False
inline,0.02,0.33777083333333335,1.0,2.0,0.9883062062235108,1.0,0.1694165259311457,1.0,120,5,False
inline,0.031875,0.5317291666666667,1.0,2.0,0.9837010642090146,1.0,0.13897769296061926,1.0,198,2,False
inline,0.04375,0.7168958333333333,1.0,3.0,0.9836885838118888,1.0,0.12127274060115846,1.0,273,7,False
inline,0.05562500000000001,0.8044583333333334,1.0,4.0,0.9861741892657093,1.0,0.11512502517611102,1.0,345,13,False
inline,0.0675,0.9782291666666667,7.0,14.0,0.989311044758011,1.0,0.10473723242662952,1.0,336,95,False
inline,0.079375,0.9687708333333334,8.0,20.0,0.9907289173891264,1.0,0.10526908306906523,1.0,370,114,False
inline,0.09125000000000001,0.9848125,14.0,30.0,0.9940246079698559,1.0,0.10445536597462136,1.0,377,184,False
inline,0.10312500000000001,0.9884583333333333,15.0,39.0,0.9950793363051564,1.0,0.1041506231803492,1.0,353,278,False
inline,0.115,0.9913541666666666,17.0,49.0,0.9968511127781585,1.0,0.10421387692956095,1.0,383,309,False
elastic,0.02,0.313125,1.0,1.0,0.9821757834250404,1.0,0.17546372682124328,0.9897260273972602,122,3,False
elastic,0.031875,0.5360625,1.0,1.0,0.9880398336466684,1.0,0.1533036685156572,0.7496409765438009,198,2,False
elastic,0.04375,0.6599791666666667,1.0,2.0,0.9941545779627833,1.0,0.14977375448738306,0.6189047261815454,272,8,False
elastic,0.05562500000000001,0.7687708333333333,1.0,2.0,0.9943923127042172,1.0,0.16084148644069937,0.4285278878390735,351,7,False
elastic,0.0675,0.9062083333333333,1.0,3.0,0.9979191356745466,1.0,0.2737660079102032,0.09747626765454967,421,10,False
elastic,0.079375,0.9522291666666667,2.0,5.0,0.9995958804935926,1.0,0.30521834261105696,0.07177242888402625,454,30,False
elastic,0.09125000000000001,0.982,7.0,13.0,1.0,1.0,0.4501807219777409,0.02782426778242678,453,108,False
elastic,0.10312500000000001,0.9764791666666667,6.0,11.0,0.9996652753706411,1.0,0.482480055458681,0.023819561551433388,550,81,False
elastic,0.115,0.9909583333333334,9.0,24.0,1.0,1.0,0.8159014538525832,0.00658165364047717,492,200,False
elastic[maxmin],0.08,0.9172708333333334,1.0,2.0,0.9907728866404508,1.0,0.13334821554658124,0.18798313422347154,436,3,False
elastic[maxmin],0.08,0.981,3.0,6.0,0.9999116440673853,1.0,0.3804932707309522,0.0141798027783776,463,34,False
elastic[maxmin],0.08,0.9728958333333333,2.0,4.0,0.9980384855213366,1.0,0.30361434114789093,0.024210603077371835,481,24,False
elastic[maxmin],0.08,0.9669791666666666,2.0,7.0,0.9977680762671741,1.0,0.25993671397784873,0.03496606668633815,444,53,False
elastic[maxmin],0.08,0.956625,1.0,3.0,0.996768685012257,1.0,0.22959652541783515,0.04801526717557252,436,11,False
elastic[value],0.08,0.9115833333333333,1.0,2.0,0.9873788162136865,1.0,0.135965652060545,0.17998945888966972,436,3,False
elastic[value],0.08,0.980875,3.0,6.0,0.9995742839708226,1.0,0.3821664783151139,0.01403584538976463,463,34,False
elastic[value],0.08,0.9711458333333334,2.0,4.0,0.998070964500663,1.0,0.31545934482541704,0.022168744986509153,481,24,False
elastic[value],0.08,0.9649166666666666,2.0,7.0,0.9970924010342622,1.0,0.2682709752331688,0.03253172027146651,444,53,False
elastic[value],0.08,0.95575,1.0,3.0,0.9956588465733468,1.0,0.23187990082795104,0.046946564885496186,436,11,False
